customer_id,name,age,gender,city,state,occupation,income,join_date
C00032,Ranbir Dalal,59,Female,unknown,Himachal Pradesh,Farmer,85906.0,2025-04-08
C00033,Teerth Morar,56,Male,unknown,Andhra Pradesh,Teacher,198706.0,2022-06-06
C00034,Viraj Lalla,55,Female,Satna,Jharkhand,Government Employee,49242.0,2026-02-18
C00035,Bhanumati Ganesh,39,Female,Hindupur,Madhya Pradesh,Business Owner,138940.0,2025-12-06
C00036,Kamala Bhagat,21,Female,Kharagpur,Madhya Pradesh,Farmer,66832.0,2021-10-10
C00037,Christopher Krishna,53,Male,Ramgarh,Tripura,Accountant,187496.0,2021-09-20
C00038,Zehaan Kapur,53,Male,Kota,Madhya Pradesh,Business Owner,118019.0,2024-11-12
C00039,Tara Samra,31,Male,Thrissur,Madhya Pradesh,Other,104975.0,2023-09-22
C00040,Adweta Date,52,Male,Kamarhati,West Bengal,Teacher,115153.0,2025-09-22
C00041,Ayaan Lala,40,Male,Guntakal,Odisha,Software Engineer,83143.0,2024-02-15
C00042,Yuvraj Bhasin,57,Male,Arrah,Karnataka,Teacher,147399.0,2023-03-03
C00043,Vasatika Gill,25,Male,Pimpri-Chinchwad,Andhra Pradesh,Business Owner,192949.0,2024-10-05
C00044,Radha Guha,51,Male,Udaipur,Haryana,Accountant,158326.0,2021-11-27
C00045,Lucky Sarin,59,Female,Sangli-Miraj & Kupwad,Andhra Pradesh,Doctor,161373.0,2026-08-20
C00046,Jeet Sood,65,Male,Nangloi Jat,Uttar Pradesh,Accountant,124593.0,2026-03-26
C00047,Dakshesh Yohannan,63,Female,Bhiwani,Maharashtra,Sales Executive,155679.0,2022-02-24
C00048,Ganga Nayak,49,Male,Kottayam,Chhattisgarh,Doctor,78903.0,2022-01-03
C00049,Maya Raghavan,25,Female,Mahbubnagar,West Bengal,Software Engineer,174221.0,2023-09-07
C00050,Omisha Naidu,56,Male,Jamshedpur,Assam,Other,77728.0,2022-09-19
C00051,Ojas Muni,21,Male,Sagar,Andhra Pradesh,Software Engineer,80015.0,2021-11-14
C00052,Tara Mand,25,Male,Chandrapur,Madhya Pradesh,Government Employee,38574.0,2025-06-26
C00053,Varenya Bora,53,Male,Bokaro,Mizoram,Accountant,195368.0,2022-12-23
C00054,Libni Kakar,52,Male,Dehri,Uttarakhand,Farmer,54684.0,2024-09-29
C00055,Owen Bedi,57,Female,Akola,Andhra Pradesh,Doctor,143987.0,2023-03-13
C00056,Hema Doshi,47,Male,Agra,Goa,Teacher,45409.0,2025-05-12
C00057,Harita Minhas,63,Female,Nellore,Assam,Government Employee,131038.0,2025-10-07
C00058,Nikita Comar,47,Female,Satna,Jharkhand,Software Engineer,196518.0,2025-04-15
C00059,Raagini Bandi,62,Male,Coimbatore,Arunachal Pradesh,Software Engineer,125544.0,2022-12-22
C00060,Oeshi Sandal,42,Male,Muzaffarpur,Telangana,Doctor,70224.0,2023-09-22
C00061,Arin Bail,33,Female,Hazaribagh,Manipur,Business Owner,130593.0,2024-10-18
C00062,Shivani Vig,32,Female,Coimbatore,Uttar Pradesh,Sales Executive,85485.0,2026-01-07
C00063,Bhavna Sathe,25,Female,Rajpur Sonarpur,Mizoram,Farmer,45666.0,2025-09-13
C00064,Saumya Dhar,24,Male,Mau,Bihar,Teacher,81965.0,2024-11-21
C00065,Megha Ganguly,31,Female,Kavali,Rajasthan,Sales Executive,146185.0,2023-04-01
C00066,Kiaan Bhat,34,Female,Jorhat,Haryana,Software Engineer,63158.0,2022-06-07
C00067,Arya Comar,45,Male,Kamarhati,Jharkhand,Student,89521.0,2023-05-17
C00068,Chaitaly Sami,50,Female,Saharanpur,Rajasthan,Student,165691.0,2022-10-04
C00069,Falak Murthy,63,Female,Pallavaram,Uttar Pradesh,Business Owner,69780.0,2023-12-03
C00070,Brinda Sawhney,39,Male,Aurangabad,Meghalaya,Software Engineer,171828.0,2024-01-14
C00071,Rajata Rao,55,Male,Hapur,Telangana,Government Employee,34985.0,2022-06-21
C00072,Kritika Brar,24,Female,Orai,Tamil Nadu,Farmer,159231.0,2022-05-26
C00073,Zayan Nadig,31,Male,Shimoga,Andhra Pradesh,Farmer,41000.0,2024-01-19
C00074,Bimala Khosla,32,Male,Nagercoil,Tripura,Other,37815.0,2026-01-08
C00075,Anusha Balakrishnan,64,Male,Raipur,Assam,Student,51427.0,2024-08-23
C00076,Harsh Mann,57,Male,Chapra,Karnataka,Other,175849.0,2026-08-31
C00077,Joshua Narayan,23,Male,Satna,Bihar,Student,192326.0,2026-08-24
C00078,Ryan Bhatnagar,58,Female,Durgapur,Sikkim,Accountant,73545.0,2025-09-04
C00079,Chandresh Bir,63,Female,Alappuzha,Chhattisgarh,Doctor,89629.0,2021-11-01
C00080,Ayushman Sood,46,Male,Alappuzha,Arunachal Pradesh,Accountant,139858.0,2022-11-06
C00081,Girindra Atwal,41,Male,Siwan,Odisha,Software Engineer,140136.0,2026-03-17
C00082,Neelima Golla,60,Male,Munger,Rajasthan,Teacher,160937.0,2022-08-13
C00083,Ronith Lad,34,Female,Muzaffarnagar,Meghalaya,Business Owner,111490.0,2022-02-12
C00084,Dayamai Sagar,25,Male,Ongole,West Bengal,Government Employee,94707.0,2022-10-07
C00085,Vihaan Chander,31,Female,Patna,Uttar Pradesh,Farmer,99303.0,2022-04-02
C00086,Nisha Bal,60,Male,Bahraich,Uttarakhand,Farmer,98480.0,2024-01-20
C00087,Brijesh Mander,63,Male,Shimoga,Tripura,Business Owner,89328.0,2023-04-12
C00088,Rachit Lalla,28,Male,Srikakulam,Kerala,Farmer,60749.0,2026-07-03
C00089,Yuvraj Chaudhuri,38,Female,Mau,Goa,Other,75215.0,2024-05-06
C00090,Farhan Bala,42,Male,Jalna,Arunachal Pradesh,Accountant,152489.0,2025-05-31
C00091,Girik Mallick,52,Female,Bijapur,Tripura,Software Engineer,44195.0,2024-11-17
C00092,Chakradhar Nazareth,61,Female,Amravati,Sikkim,Accountant,31557.0,2024-09-27
C00093,Yachana Warrior,21,Female,Navi Mumbai,Chhattisgarh,Business Owner,187015.0,2024-04-30
C00094,Hemang Singhal,37,Male,Satara,Telangana,Sales Executive,164619.0,2025-07-18
C00095,Charles Sekhon,48,Male,Khammam,Nagaland,Teacher,39724.0,2023-01-02
C00096,William Goel,65,Male,Gangtok,Rajasthan,Farmer,29444.0,2025-12-25
C00097,Tanish Mander,44,Male,Patna,Tripura,Student,53409.0,2024-01-01
C00098,Anay Ramachandran,23,Female,Davanagere,Chhattisgarh,Government Employee,30458.0,2022-12-15
C00099,Kiaan Patla,43,Male,Bahraich,West Bengal,Doctor,194832.0,2024-07-16
C00100,Chaaya Vala,27,Female,Bulandshahr,Tamil Nadu,Farmer,126529.0,2026-06-01
C00101,Mohammed Munshi,60,Male,Jamalpur,West Bengal,Doctor,62598.0,2024-08-28
C00102,Upasna Tiwari,32,Female,Bathinda,Jharkhand,Software Engineer,67018.0,2025-03-24
C00103,Aachal Yogi,42,Female,Gulbarga,Andhra Pradesh,Doctor,89941.0,2026-06-02
C00104,Ati Bhavsar,31,Male,Dehri,Meghalaya,Student,30151.0,2025-07-08
C00105,Osha Wali,51,Male,Sangli-Miraj & Kupwad,Jharkhand,Doctor,140665.0,2022-04-27
C00106,Kritika Doshi,43,Female,Madurai,Nagaland,Doctor,78438.0,2022-10-20
C00107,Oscar Yogi,22,Male,Gwalior,Himachal Pradesh,Student,106051.0,2024-11-10
C00108,Patrick Sule,38,Male,Jalna,Andhra Pradesh,Accountant,112050.0,2022-03-15
C00109,Varenya Tailor,62,Female,Meerut,Kerala,Farmer,106808.0,2026-05-09
C00110,Max Butala,22,Male,Nangloi Jat,Tamil Nadu,Accountant,66810.0,2022-07-02
C00111,Nisha Khatri,58,Female,Bhilai,Maharashtra,Software Engineer,48417.0,2024-08-03
C00112,Leena Cheema,59,Female,Ambattur,Uttar Pradesh,Government Employee,102228.0,2025-03-18
C00113,Barkha Bhat,48,Male,Dhanbad,Arunachal Pradesh,Student,171149.0,2023-10-24
C00114,Vansha Badal,33,Female,Vasai-Virar,Uttarakhand,Software Engineer,134309.0,2025-08-07
C00115,Falak Ahluwalia,21,Male,Delhi,Uttar Pradesh,Government Employee,133062.0,2022-07-05
C00116,Wridesh Anand,25,Female,Singrauli,Maharashtra,Other,102291.0,2022-05-19
C00117,Rajeshri Bhavsar,63,Male,Singrauli,Meghalaya,Accountant,152939.0,2021-09-25
C00118,Nitara Singhal,40,Female,Bhusawal,Gujarat,Government Employee,125486.0,2024-07-11
C00119,Noah Palla,65,Female,Rampur,Karnataka,Farmer,53367.0,2025-07-13
C00120,Jeet Sarraf,33,Female,Gaya,Haryana,Student,197554.0,2021-12-04
C00121,Udant Dhawan,32,Female,Kolhapur,Jharkhand,Student,163638.0,2026-05-06
C00122,Yachana Aggarwal,21,Female,Dehradun,Karnataka,Accountant,75098.0,2024-09-22
C00123,Dhriti Wadhwa,48,Female,Uluberia,Kerala,Sales Executive,135811.0,2024-05-02
C00124,Aahana Chhabra,49,Male,Darbhanga,Meghalaya,Farmer,144042.0,2023-07-28
C00125,Sanya Bhagat,31,Male,Agra,Punjab,Accountant,155122.0,2024-04-14
C00126,Rushil Basak,63,Female,Tirupati,Manipur,Teacher,81569.0,2023-04-20
C00127,Kiaan Raman,64,Female,Shimoga,Mizoram,Doctor,72200.0,2022-08-19
C00128,Ekansh Khosla,30,Male,Imphal,Odisha,Software Engineer,84184.0,2026-02-21
C00129,Anirudh Mander,51,Male,Dehri,Madhya Pradesh,Sales Executive,128643.0,2023-04-22
C00130,Agastya D’Alia,61,Male,Hyderabad,Mizoram,Student,149598.0,2026-05-21
C00131,Deepa Prabhakar,46,Male,Bellary,Punjab,Business Owner,191981.0,2026-08-09
C00132,Ekalinga Guha,65,Male,Patiala,Kerala,Teacher,131449.0,2026-07-22
C00133,Zarna Palan,35,Male,Visakhapatnam,Manipur,Farmer,141778.0,2024-11-12
C00134,Neelima Sarna,24,Male,Alappuzha,Jharkhand,Teacher,139658.0,2024-10-16
C00135,Chavvi Chaudhry,29,Female,Katihar,Maharashtra,Farmer,166518.0,2024-03-22
C00136,Unni Badal,59,Female,Ballia,Nagaland,Sales Executive,180603.0,2024-07-09
C00137,Aarush Joshi,53,Female,Pune,Manipur,Farmer,136893.0,2025-10-03
C00138,Darpan Chaudhary,31,Female,Hindupur,Madhya Pradesh,Sales Executive,87945.0,2023-07-05
C00139,Zansi Kale,36,Female,Solapur,Meghalaya,Farmer,147034.0,2026-03-13
C00140,Nakul Tak,61,Male,Bihar Sharif,Nagaland,Accountant,135309.0,2024-07-27
C00141,Anika Bajwa,25,Female,Davanagere,Madhya Pradesh,Doctor,91228.0,2025-10-10
C00142,Tamanna Handa,42,Female,Mirzapur,Gujarat,Farmer,41122.0,2023-06-22
C00143,Bimala Barad,29,Male,Motihari,Uttarakhand,Doctor,120410.0,2023-07-18
C00144,Varsha Kalita,65,Male,Gurgaon,Karnataka,Doctor,36837.0,2025-12-27
C00145,Reva Kibe,47,Female,Jhansi,Himachal Pradesh,Government Employee,162242.0,2023-10-23
C00146,Anya Sachdeva,50,Female,Karaikudi,Manipur,Software Engineer,74220.0,2023-10-09
C00147,Raksha Hora,47,Female,Medininagar,Himachal Pradesh,Other,25120.0,2024-08-04
C00148,Damyanti Sane,57,Female,Tadepalligudem,Jharkhand,Sales Executive,21545.0,2023-01-25
C00149,Krish Sodhi,43,Female,Guna,West Bengal,Student,129843.0,2025-05-14
C00150,Imaran Chaudhary,55,Male,Bokaro,Jharkhand,Sales Executive,77520.0,2023-02-25
C00151,Teerth Chahal,38,Female,Morbi,Nagaland,Sales Executive,27608.0,2023-05-02
C00152,Frado Seth,45,Female,Shahjahanpur,Odisha,Student,63265.0,2021-10-12
C00153,Owen Palla,50,Male,Aizawl,Assam,Other,160017.0,2024-08-11
C00154,Nicholas Purohit,22,Female,Khora ,West Bengal,Other,167951.0,2025-03-25
C00155,Osha Palan,63,Male,Silchar,West Bengal,Teacher,188492.0,2022-06-28
C00156,Lekha Narayan,48,Male,Amroha,Chhattisgarh,Sales Executive,67639.0,2021-10-06
C00157,Meera Khosla,24,Female,Darbhanga,Uttarakhand,Student,105813.0,2024-07-26
C00158,Michael Comar,34,Female,Madhyamgram,Karnataka,Government Employee,108473.0,2022-09-22
C00159,Urvi Menon,45,Female,Ambarnath,Tripura,Student,86131.0,2024-01-24
C00160,Hemangini Thakur,26,Female,Panvel,Tamil Nadu,Software Engineer,161405.0,2023-11-29
C00161,Manbir Borde,24,Female,Mehsana,Uttarakhand,Doctor,190431.0,2025-11-22
C00162,Charles Memon,25,Male,Davanagere,Manipur,Software Engineer,84823.0,2025-12-09
C00163,Eshana Seshadri,33,Male,Ambala,Karnataka,Other,59946.0,2025-12-18
C00164,George Sura,36,Male,Imphal,Arunachal Pradesh,Sales Executive,195494.0,2024-01-22
C00165,Kai Basu,28,Male,Jamshedpur,Punjab,Sales Executive,87172.0,2022-10-12
C00166,Urvashi Ahluwalia,44,Male,Bathinda,Himachal Pradesh,Other,179186.0,2024-04-29
C00167,Parth Yogi,28,Male,Korba,Goa,Accountant,48337.0,2025-11-25
C00168,Aadi Kibe,58,Male,Srinagar,Uttar Pradesh,Accountant,170941.0,2026-09-03
C00169,Ladli Vaidya,64,Female,Gudivada,Bihar,Student,71990.0,2021-09-16
C00170,Falak Kulkarni,25,Male,Surendranagar Dudhrej,Himachal Pradesh,Teacher,99058.0,2024-09-09
C00171,Lila Nair,64,Male,Hubli–Dharwad,Assam,Other,30766.0,2026-04-03
C00172,Triya Narang,43,Female,Imphal,Jharkhand,Government Employee,38076.0,2023-08-17
C00173,Ekansh Parekh,53,Female,Gaya,West Bengal,Software Engineer,130115.0,2023-01-19
C00174,Ekaraj Hegde,52,Male,Bhiwandi,Madhya Pradesh,Student,114945.0,2024-02-24
C00175,Jasmit Kala,61,Female,Mumbai,Tamil Nadu,Business Owner,134160.0,2024-12-09
C00176,Pratyush Madan,32,Female,Muzaffarpur,Manipur,Other,161078.0,2022-06-19
C00177,Ekapad Dubey,51,Female,Hospet,Telangana,Student,175313.0,2022-07-04
C00178,Siddharth Sule,38,Female,Sasaram,Nagaland,Doctor,42718.0,2023-11-26
C00179,Anusha Mahal,38,Female,Aligarh,Haryana,Doctor,141820.0,2022-01-26
C00180,Abdul Krish,57,Female,Bardhaman,Madhya Pradesh,Government Employee,27523.0,2023-05-15
C00181,Vedant Nair,52,Female,Aligarh,Maharashtra,Business Owner,147808.0,2021-09-16
C00182,Banjeet Savant,34,Female,Panipat,Goa,Accountant,109217.0,2022-11-28
C00183,Vaishnavi Handa,38,Female,Naihati,Himachal Pradesh,Farmer,22661.0,2022-02-05
C00184,Neha Rege,54,Male,Karnal,Meghalaya,Teacher,83270.0,2024-04-02
C00185,Fiyaz Hegde,47,Female,Kharagpur,Gujarat,Farmer,82999.0,2025-11-02
C00186,Ranbir Nagi,65,Female,Rewa,Bihar,Sales Executive,137486.0,2024-11-05
C00187,Tristan Mitra,22,Male,Akola,Rajasthan,Accountant,78090.0,2021-11-05
C00188,Ishanvi Ghose,46,Male,Jalandhar,Andhra Pradesh,Accountant,194053.0,2023-10-01
C00189,Samesh Ramachandran,58,Female,Udupi,Haryana,Sales Executive,165089.0,2026-05-04
C00190,Amaira Baral,54,Female,Chandrapur,Tamil Nadu,Student,164281.0,2026-04-11
C00191,Suhani Varma,42,Female,Guntur,Uttarakhand,Sales Executive,91019.0,2023-04-17
C00192,Harsh Gandhi,40,Female,Kishanganj,Rajasthan,Doctor,51629.0,2022-12-11
C00193,Gunbir Choudhury,33,Female,Kharagpur,Uttarakhand,Teacher,160473.0,2025-05-20
C00194,Ishita Bath,65,Male,Srikakulam,Goa,Doctor,76723.0,2024-06-29
C00195,Farhan Ahluwalia,51,Female,Proddatur,Kerala,Other,157530.0,2023-10-06
C00196,Abhimanyu Chaudhari,59,Female,Siliguri,Maharashtra,Teacher,70886.0,2026-08-09
C00197,Bhavini Kala,39,Male,Mumbai,Goa,Government Employee,67039.0,2026-06-19
C00198,Hemang Sangha,40,Male,Warangal,Gujarat,Farmer,53182.0,2021-12-02
C00199,Anvi Choudhury,38,Male,Morena,Punjab,Software Engineer,165059.0,2026-07-09
C00200,Arya Kulkarni,39,Male,Mangalore,Uttarakhand,Sales Executive,46892.0,2022-06-22
C00201,Falguni Magar,21,Female,Kalyan-Dombivli,Haryana,Sales Executive,145492.0,2023-12-06
C00202,Dev Prabhakar,49,Female,Howrah,Bihar,Business Owner,33468.0,2025-04-25
C00203,Leena Dutt,37,Female,Kalyan-Dombivli,Telangana,Teacher,37129.0,2025-12-18
C00204,Yachana Devi,46,Female,Firozabad,Andhra Pradesh,Teacher,171262.0,2026-04-30
C00205,Ekansh Barad,61,Male,Chittoor,Jharkhand,Business Owner,59111.0,2023-10-19
C00206,Guneet Sane,57,Female,Tiruppur,Uttarakhand,Teacher,85061.0,2025-11-11
C00207,Pranit Srivastava,28,Female,Deoghar,Rajasthan,Other,176271.0,2024-07-10
C00208,David Ramakrishnan,60,Male,Akola,West Bengal,Farmer,119713.0,2022-06-24
C00209,Mason Behl,49,Female,Farrukhabad,Chhattisgarh,Accountant,174278.0,2026-08-14
C00210,Anthony Om,48,Female,Guwahati,Tamil Nadu,Other,182798.0,2026-05-22
C00211,Yashoda Natt,24,Male,Erode,Madhya Pradesh,Doctor,183975.0,2023-09-13
C00212,Orinder Tiwari,34,Female,Junagadh,Jharkhand,Teacher,61171.0,2023-09-03
C00213,Warhi Mitra,36,Male,Mirzapur,Arunachal Pradesh,Farmer,39677.0,2023-01-19
C00214,Chameli Modi,31,Male,Yamunanagar,Meghalaya,Student,138096.0,2025-05-15
C00215,Upkaar Master,65,Female,Moradabad,Chhattisgarh,Accountant,28556.0,2026-07-30
C00216,Laban Om,35,Female,Mangalore,Nagaland,Accountant,139021.0,2022-04-07
C00217,Deepa Dube,25,Male,Arrah,Rajasthan,Accountant,183855.0,2022-02-21
C00218,Krishna Tandon,58,Male,Vellore,Karnataka,Student,50087.0,2022-09-04
C00219,Jeet Singhal,55,Male,Chandrapur,Punjab,Business Owner,89633.0,2022-06-15
C00220,Chandresh Johal,30,Male,Guntur,Chhattisgarh,Software Engineer,63495.0,2026-03-15
C00221,Neha Golla,40,Female,Bhalswa Jahangir Pur,Punjab,Sales Executive,52598.0,2025-10-20
C00222,Atharv Anand,50,Female,New Delhi,Manipur,Student,91367.0,2022-08-09
C00223,Nachiket Gola,53,Female,Bilaspur,Tripura,Sales Executive,41087.0,2025-06-27
C00224,Sathvik Pandit,59,Male,Tirupati,Goa,Student,104494.0,2024-03-31
C00225,Gaurangi Subramanian,59,Female,Medininagar,Manipur,Software Engineer,43940.0,2023-08-29
C00226,Fitan Karpe,35,Male,Sambalpur,Assam,Accountant,171059.0,2023-11-24
C00227,Mason Lad,23,Male,Noida,Himachal Pradesh,Sales Executive,156043.0,2022-08-03
C00228,Anthony Kala,62,Female,Srinagar,Uttar Pradesh,Accountant,67576.0,2023-07-09
C00229,Praneel Chokshi,58,Female,Bidhannagar,West Bengal,Sales Executive,43918.0,2021-11-30
C00230,Indali Prasad,51,Female,Jalgaon,West Bengal,Student,107374.0,2024-06-23
C00231,Harinakshi Mammen,41,Male,Bareilly,Sikkim,Business Owner,106456.0,2024-01-26
C00232,Pavani Nazareth,47,Female,Panchkula,Andhra Pradesh,Accountant,193692.0,2022-07-11
C00233,Odika Dutta,46,Male,Tirunelveli,Kerala,Sales Executive,43084.0,2024-10-13
C00234,Kiaan Tak,41,Female,Bidar,Mizoram,Government Employee,50388.0,2022-05-24
C00235,Gavin Bassi,46,Male,Belgaum,Tripura,Farmer,141104.0,2025-10-11
C00236,Vrinda Bhardwaj,47,Male,Sambhal,Andhra Pradesh,Doctor,155905.0,2022-12-11
C00237,Jeremiah Acharya,44,Female,Jamalpur,Uttar Pradesh,Sales Executive,33529.0,2026-08-20
C00238,William Ganguly,34,Female,Salem,Manipur,Farmer,54344.0,2023-07-11
C00239,Anirudh Dewan,39,Female,Bhavnagar,Madhya Pradesh,Sales Executive,51831.0,2023-10-07
C00240,Idika Krish,22,Male,Karaikudi,Goa,Business Owner,101461.0,2022-01-04
C00241,Lopa Dixit,56,Male,Morbi,Odisha,Farmer,126952.0,2022-06-21
C00242,Mohini Thakur,26,Male,Hindupur,Madhya Pradesh,Teacher,140965.0,2023-02-08
C00243,Sanya Sampath,28,Male,Barasat,Sikkim,Sales Executive,96509.0,2026-01-10
C00244,Frado Mall,53,Female,Nanded,Manipur,Student,146484.0,2026-05-25
C00245,Kashish Lall,51,Male,Aligarh,Uttar Pradesh,Sales Executive,164510.0,2022-07-26
C00246,Hritik Pradhan,30,Female,Ramagundam,Jharkhand,Doctor,177123.0,2022-04-04
C00247,Aarna Loke,53,Male,Cuttack,Telangana,Teacher,92416.0,2021-11-20
C00248,Chaman Iyengar,47,Female,Raiganj,Karnataka,Farmer,90037.0,2022-12-21
C00249,Laban Kale,21,Female,Howrah,Kerala,Accountant,173862.0,2024-05-13
C00250,Balveer Saxena,58,Female,Saharanpur,Karnataka,Business Owner,137059.0,2022-01-12
C00251,Sai Desai,55,Female,Singrauli,Punjab,Government Employee,107147.0,2024-10-09
C00252,Rohan Sawhney,56,Female,Pune,Bihar,Sales Executive,104352.0,2023-06-27
C00253,Nachiket Murthy,33,Male,Narasaraopet,Arunachal Pradesh,Other,120393.0,2021-09-26
C00254,Zayan Majumdar,35,Female,Kavali,Jharkhand,Software Engineer,103408.0,2026-06-03
C00255,Gunbir Nagar,51,Female,Cuttack,Meghalaya,Student,193982.0,2022-01-05
C00256,Amaira Saha,62,Male,Alappuzha,Uttarakhand,Sales Executive,29704.0,2025-07-06
C00257,Qushi Sahni,29,Female,Ramgarh,Manipur,Teacher,135423.0,2024-07-08
C00258,Deepa Ramaswamy,27,Female,Kirari Suleman Nagar,Odisha,Software Engineer,57789.0,2026-01-03
C00259,Eesha Chakrabarti,47,Male,Muzaffarnagar,Madhya Pradesh,Teacher,143074.0,2026-08-12
C00260,Anirudh Dewan,37,Female,Ghaziabad,West Bengal,Other,124197.0,2023-01-30
C00261,Avi Kala,62,Male,South Dumdum,Rajasthan,Government Employee,196778.0,2023-12-15
C00262,Edhitha Dar,55,Female,Jamshedpur,Goa,Government Employee,184311.0,2026-04-18
C00263,Chanakya Buch,52,Male,Etawah,Bihar,Other,37936.0,2025-03-01
C00264,Anthony Garg,36,Female,Jehanabad,Odisha,Doctor,43692.0,2024-01-31
C00265,Simon Khatri,48,Male,Chandigarh,Odisha,Teacher,136307.0,2022-03-25
C00266,Jack Thakkar,31,Female,Kottayam,West Bengal,Software Engineer,32056.0,2024-08-05
C00267,Ekta Deo,41,Male,Mau,West Bengal,Accountant,113969.0,2024-08-11
C00268,Ekalinga Chatterjee,44,Female,Saharsa,Haryana,Business Owner,84014.0,2024-09-16
C00269,Tanmayi Kapoor,54,Female,Thoothukudi,Jharkhand,Other,198729.0,2024-02-06
C00270,Yatan Acharya,32,Male,Pallavaram,West Bengal,Business Owner,40701.0,2026-02-24
C00271,Onveer Shetty,60,Female,Serampore,Jharkhand,Other,199079.0,2022-10-01
C00272,Triveni Rajan,36,Female,Rampur,Manipur,Other,57517.0,2022-04-21
C00273,Januja Venkatesh,35,Female,Jhansi,Telangana,Accountant,140473.0,2025-07-03
C00274,Sachi Prabhu,37,Male,Rewa,Punjab,Sales Executive,95400.0,2024-12-23
C00275,Ranveer Sha,64,Male,Dhule,Haryana,Teacher,135796.0,2022-08-31
C00276,Aarav Panchal,43,Female,Tenali,Tamil Nadu,Student,85561.0,2021-11-20
C00277,Daniel Varma,50,Female,Pali,Manipur,Doctor,120845.0,2022-07-21
C00278,Umang Toor,51,Male,Barasat,Gujarat,Doctor,119972.0,2026-07-08
C00279,Ayush Bhagat,57,Female,Khora ,Kerala,Other,97561.0,2023-07-23
C00280,Sathvik Bhatti,65,Female,Coimbatore,Haryana,Software Engineer,192550.0,2023-11-20
C00281,Girik Walia,46,Female,Phusro,Assam,Software Engineer,168354.0,2026-06-12
C00282,Elijah Rout,64,Male,Gorakhpur,Uttar Pradesh,Other,150214.0,2023-04-13
C00283,Warjas Chacko,39,Male,Mangalore,Goa,Other,112358.0,2026-07-09
C00284,Balveer Hans,35,Male,Gandhinagar,Arunachal Pradesh,Other,85700.0,2026-09-04
C00285,Balveer Dutta,64,Male,Hubli–Dharwad,Mizoram,Teacher,184484.0,2025-11-07
C00286,Aishani Madan,62,Male,Jorhat,Assam,Accountant,135559.0,2023-08-19
C00287,Avi Prashad,23,Female,Hosur,Chhattisgarh,Business Owner,43627.0,2022-05-03
C00288,Aditya Pandit,39,Female,North Dumdum,Maharashtra,Student,66042.0,2023-07-25
