customer_id,name,age,gender,occupation,income,transaction_count,total_transaction_amount,average_transaction_amount,median_transaction_amount,activity_segment,spending_segment
C00062,Shivani Vig,32,Female,Sales Executive,85485.0,16,695507.32,43469.21,46865.36,High Activity,High Spender
C00063,Bhavna Sathe,25,Female,Farmer,45666.0,5,301484.73,60296.95,55722.22,Low Activity,Low Spender
C00064,Saumya Dhar,24,Male,Teacher,81965.0,10,493976.05,49397.6,45679.84,Medium Activity,Medium Spender
C00065,Megha Ganguly,31,Female,Sales Executive,146185.0,12,564828.79,47069.07,35547.45,Medium Activity,Medium Spender
C00066,Kiaan Bhat,34,Female,Software Engineer,63158.0,7,417671.4,59667.34,77510.32,Low Activity,Medium Spender
C00067,Arya Comar,45,Male,Student,89521.0,10,402727.5,40272.75,36075.56,Medium Activity,Low Spender
C00068,Chaitaly Sami,50,Female,Student,165691.0,7,382231.54,54604.51,47996.33,Low Activity,Low Spender
C00069,Falak Murthy,63,Female,Business Owner,69780.0,8,371817.78,46477.22,49877.3,Low Activity,Low Spender
C00070,Brinda Sawhney,39,Male,Software Engineer,171828.0,7,362495.19,51785.03,38369.81,Low Activity,Low Spender
C00071,Rajata Rao,55,Male,Government Employee,34985.0,10,363442.36,36344.24,33054.86,Medium Activity,Low Spender
C00072,Kritika Brar,24,Female,Farmer,159231.0,9,402424.07,44713.79,32632.27,Medium Activity,Low Spender
C00073,Zayan Nadig,31,Male,Farmer,41000.0,10,455898.92,45589.89,38012.46,Medium Activity,Medium Spender
C00074,Bimala Khosla,32,Male,Other,37815.0,15,619497.31,41299.82,28120.79,Medium Activity,High Spender
C00075,Anusha Balakrishnan,64,Male,Student,51427.0,10,369096.6,36909.66,30720.36,Medium Activity,Low Spender
C00076,Harsh Mann,57,Male,Other,175849.0,11,448592.1,40781.1,31899.57,Medium Activity,Medium Spender
C00077,Joshua Narayan,23,Male,Student,192326.0,9,468593.94,52065.99,62722.72,Medium Activity,Medium Spender
C00078,Ryan Bhatnagar,58,Female,Accountant,73545.0,6,377364.43,62894.07,63131.12,Low Activity,Low Spender
C00079,Chandresh Bir,63,Female,Doctor,89629.0,15,535745.11,35716.34,27467.28,Medium Activity,Medium Spender
C00080,Ayushman Sood,46,Male,Accountant,139858.0,13,808097.82,62161.37,68273.84,Medium Activity,High Spender
C00081,Girindra Atwal,41,Male,Software Engineer,140136.0,10,619982.86,61998.29,67812.46,Medium Activity,High Spender
C00082,Neelima Golla,60,Male,Teacher,160937.0,7,494393.08,70627.58,73177.46,Low Activity,Medium Spender
C00083,Ronith Lad,34,Female,Business Owner,111490.0,11,431743.64,39249.42,37115.31,Medium Activity,Medium Spender
C00084,Dayamai Sagar,25,Male,Government Employee,94707.0,11,660125.32,60011.39,72473.75,Medium Activity,High Spender
C00085,Vihaan Chander,31,Female,Farmer,99303.0,9,624097.34,69344.15,86395.96,Medium Activity,High Spender
C00086,Nisha Bal,60,Male,Farmer,98480.0,13,670546.77,51580.52,46368.91,Medium Activity,High Spender
C00087,Brijesh Mander,63,Male,Business Owner,89328.0,10,432847.21,43284.72,41579.18,Medium Activity,Medium Spender
C00088,Rachit Lalla,28,Male,Farmer,60749.0,11,596326.42,54211.49,57304.76,Medium Activity,High Spender
C00089,Yuvraj Chaudhuri,38,Female,Other,75215.0,6,369895.26,61649.21,64602.16,Low Activity,Low Spender
C00090,Farhan Bala,42,Male,Accountant,152489.0,7,419796.33,59970.9,63438.76,Low Activity,Medium Spender
C00091,Girik Mallick,52,Female,Software Engineer,44195.0,8,411751.23,51468.9,58397.16,Low Activity,Medium Spender
C00092,Chakradhar Nazareth,61,Female,Accountant,31557.0,9,417030.86,46336.76,58647.89,Medium Activity,Medium Spender
C00093,Yachana Warrior,21,Female,Business Owner,187015.0,15,753398.35,50226.56,54715.08,Medium Activity,High Spender
C00094,Hemang Singhal,37,Male,Sales Executive,164619.0,10,536601.85,53660.18,56768.5,Medium Activity,Medium Spender
C00095,Charles Sekhon,48,Male,Teacher,39724.0,7,271877.34,38839.62,44468.48,Low Activity,Low Spender
C00096,William Goel,65,Male,Farmer,29444.0,8,424314.61,53039.33,47389.59,Low Activity,Medium Spender
C00097,Tanish Mander,44,Male,Student,53409.0,15,731354.63,48756.98,47279.87,Medium Activity,High Spender
C00098,Anay Ramachandran,23,Female,Government Employee,30458.0,6,162248.13,27041.36,14570.13,Low Activity,Low Spender
C00099,Kiaan Patla,43,Male,Doctor,194832.0,7,193722.75,27674.68,13819.7,Low Activity,Low Spender
C00100,Chaaya Vala,27,Female,Farmer,126529.0,10,470805.99,47080.6,51282.93,Medium Activity,Medium Spender
C00101,Mohammed Munshi,60,Male,Doctor,62598.0,14,607278.54,43377.04,39917.15,Medium Activity,High Spender
C00102,Upasna Tiwari,32,Female,Software Engineer,67018.0,4,269420.15,67355.04,64839.25,Low Activity,Low Spender
C00103,Aachal Yogi,42,Female,Doctor,89941.0,11,472641.47,42967.41,41270.46,Medium Activity,Medium Spender
C00104,Ati Bhavsar,31,Male,Student,30151.0,12,600715.46,50059.62,54548.32,Medium Activity,High Spender
C00105,Osha Wali,51,Male,Doctor,140665.0,10,582977.96,58297.8,61456.15,Medium Activity,High Spender
C00106,Kritika Doshi,43,Female,Doctor,78438.0,6,284811.87,47468.64,37249.1,Low Activity,Low Spender
C00107,Oscar Yogi,22,Male,Student,106051.0,12,566795.22,47232.94,46126.67,Medium Activity,Medium Spender
C00108,Patrick Sule,38,Male,Accountant,112050.0,15,759101.28,50606.75,50814.85,Medium Activity,High Spender
C00109,Varenya Tailor,62,Female,Farmer,106808.0,10,441027.65,44102.76,39560.06,Medium Activity,Medium Spender
C00110,Max Butala,22,Male,Accountant,66810.0,7,269887.81,38555.4,24636.31,Low Activity,Low Spender
C00111,Nisha Khatri,58,Female,Software Engineer,48417.0,10,435439.35,43543.94,43102.64,Medium Activity,Medium Spender
C00112,Leena Cheema,59,Female,Government Employee,102228.0,6,376715.06,62785.84,83113.11,Low Activity,Low Spender
C00113,Barkha Bhat,48,Male,Student,171149.0,7,424431.3,60633.04,66422.84,Low Activity,Medium Spender
C00114,Vansha Badal,33,Female,Software Engineer,134309.0,9,511558.68,56839.85,55268.95,Medium Activity,Medium Spender
C00115,Falak Ahluwalia,21,Male,Government Employee,133062.0,14,742075.51,53005.39,58647.63,Medium Activity,High Spender
C00116,Wridesh Anand,25,Female,Other,102291.0,9,615980.23,68442.25,83175.52,Medium Activity,High Spender
C00117,Rajeshri Bhavsar,63,Male,Accountant,152939.0,14,845955.04,60425.36,58294.54,Medium Activity,High Spender
C00118,Nitara Singhal,40,Female,Government Employee,125486.0,10,471567.87,47156.79,42756.29,Medium Activity,Medium Spender
C00119,Noah Palla,65,Female,Farmer,53367.0,3,219929.66,73309.89,80534.13,Low Activity,Low Spender
C00120,Jeet Sarraf,33,Female,Student,197554.0,15,618705.38,41247.03,35866.72,Medium Activity,High Spender
C00121,Udant Dhawan,32,Female,Student,163638.0,7,279659.35,39951.34,36834.56,Low Activity,Low Spender
C00122,Yachana Aggarwal,21,Female,Accountant,75098.0,17,720754.32,42397.31,34081.51,High Activity,High Spender
C00123,Dhriti Wadhwa,48,Female,Sales Executive,135811.0,18,941729.56,52318.31,49779.46,High Activity,High Spender
C00124,Aahana Chhabra,49,Male,Farmer,144042.0,14,564525.24,40323.23,40325.51,Medium Activity,Medium Spender
C00125,Sanya Bhagat,31,Male,Accountant,155122.0,17,945624.84,55624.99,61510.4,High Activity,High Spender
C00126,Rushil Basak,63,Female,Teacher,81569.0,12,588289.95,49024.16,47139.04,Medium Activity,High Spender
C00127,Kiaan Raman,64,Female,Doctor,72200.0,11,576462.17,52405.65,46070.88,Medium Activity,High Spender
C00128,Ekansh Khosla,30,Male,Software Engineer,84184.0,9,455724.08,50636.01,47069.32,Medium Activity,Medium Spender
C00129,Anirudh Mander,51,Male,Sales Executive,128643.0,9,387150.71,43016.75,46077.97,Medium Activity,Low Spender
C00130,Agastya D’Alia,61,Male,Student,149598.0,12,465695.38,38807.95,32905.9,Medium Activity,Medium Spender
C00131,Deepa Prabhakar,46,Male,Business Owner,191981.0,12,724799.01,60399.92,72908.22,Medium Activity,High Spender
C00132,Ekalinga Guha,65,Male,Teacher,131449.0,8,324362.34,40545.29,35450.71,Low Activity,Low Spender
C00133,Zarna Palan,35,Male,Farmer,141778.0,9,505517.15,56168.57,74354.39,Medium Activity,Medium Spender
C00134,Neelima Sarna,24,Male,Teacher,139658.0,11,640304.03,58209.46,54464.15,Medium Activity,High Spender
C00135,Chavvi Chaudhry,29,Female,Farmer,166518.0,11,549819.78,49983.62,52502.79,Medium Activity,Medium Spender
C00136,Unni Badal,59,Female,Sales Executive,180603.0,7,319563.2,45651.89,46898.19,Low Activity,Low Spender
C00137,Aarush Joshi,53,Female,Farmer,136893.0,8,326581.0,40822.62,39211.54,Low Activity,Low Spender
C00138,Darpan Chaudhary,31,Female,Sales Executive,87945.0,6,283444.03,47240.67,45644.36,Low Activity,Low Spender
C00139,Zansi Kale,36,Female,Farmer,147034.0,11,506605.82,46055.07,52647.44,Medium Activity,Medium Spender
C00140,Nakul Tak,61,Male,Accountant,135309.0,7,361280.72,51611.53,53831.1,Low Activity,Low Spender
C00141,Anika Bajwa,25,Female,Doctor,91228.0,6,220241.17,36706.86,32175.18,Low Activity,Low Spender
C00142,Tamanna Handa,42,Female,Farmer,41122.0,8,551718.91,68964.86,72108.84,Low Activity,Medium Spender
C00143,Bimala Barad,29,Male,Doctor,120410.0,14,678486.87,48463.35,41817.82,Medium Activity,High Spender
C00144,Varsha Kalita,65,Male,Doctor,36837.0,8,443785.18,55473.15,63569.84,Low Activity,Medium Spender
C00145,Reva Kibe,47,Female,Government Employee,162242.0,8,469604.15,58700.52,64030.3,Low Activity,Medium Spender
C00146,Anya Sachdeva,50,Female,Software Engineer,74220.0,13,637889.33,49068.41,49696.94,Medium Activity,High Spender
C00147,Raksha Hora,47,Female,Other,25120.0,12,572169.46,47680.79,32844.47,Medium Activity,High Spender
C00148,Damyanti Sane,57,Female,Sales Executive,21545.0,9,408705.17,45411.69,34377.91,Medium Activity,Low Spender
C00149,Krish Sodhi,43,Female,Student,129843.0,12,709270.15,59105.85,62733.72,Medium Activity,High Spender
C00150,Imaran Chaudhary,55,Male,Sales Executive,77520.0,16,835828.08,52239.26,59128.67,High Activity,High Spender
C00151,Teerth Chahal,38,Female,Sales Executive,27608.0,5,281302.66,56260.53,61348.54,Low Activity,Low Spender
C00152,Frado Seth,45,Female,Student,63265.0,10,526577.58,52657.76,54073.94,Medium Activity,Medium Spender
C00153,Owen Palla,50,Male,Other,160017.0,8,265667.22,33208.4,32477.64,Low Activity,Low Spender
C00154,Nicholas Purohit,22,Female,Other,167951.0,9,436223.81,48469.31,46618.66,Medium Activity,Medium Spender
C00155,Osha Palan,63,Male,Teacher,188492.0,8,401006.52,50125.82,49954.2,Low Activity,Low Spender
C00156,Lekha Narayan,48,Male,Sales Executive,67639.0,10,490140.95,49014.1,57620.38,Medium Activity,Medium Spender
C00157,Meera Khosla,24,Female,Student,105813.0,10,538566.21,53856.62,57679.58,Medium Activity,Medium Spender
C00158,Michael Comar,34,Female,Government Employee,108473.0,10,467528.39,46752.84,50783.92,Medium Activity,Medium Spender
C00159,Urvi Menon,45,Female,Student,86131.0,11,564961.14,51360.1,47307.68,Medium Activity,Medium Spender
C00160,Hemangini Thakur,26,Female,Software Engineer,161405.0,4,273861.8,68465.45,83810.95,Low Activity,Low Spender
C00161,Manbir Borde,24,Female,Doctor,190431.0,11,609479.4,55407.22,61117.02,Medium Activity,High Spender
C00162,Charles Memon,25,Male,Software Engineer,84823.0,12,720773.21,60064.43,62313.89,Medium Activity,High Spender
C00163,Eshana Seshadri,33,Male,Other,59946.0,11,665291.14,60481.01,66214.97,Medium Activity,High Spender
C00164,George Sura,36,Male,Sales Executive,195494.0,8,497549.16,62193.64,69550.2,Low Activity,Medium Spender
C00165,Kai Basu,28,Male,Sales Executive,87172.0,8,347393.96,43424.24,35900.9,Low Activity,Low Spender
C00166,Urvashi Ahluwalia,44,Male,Other,179186.0,7,293036.71,41862.39,23529.3,Low Activity,Low Spender
C00167,Parth Yogi,28,Male,Accountant,48337.0,8,480154.43,60019.3,60413.24,Low Activity,Medium Spender
C00168,Aadi Kibe,58,Male,Accountant,170941.0,11,478138.25,43467.11,39413.24,Medium Activity,Medium Spender
C00169,Ladli Vaidya,64,Female,Student,71990.0,9,461145.82,51238.42,50183.92,Medium Activity,Medium Spender
C00170,Falak Kulkarni,25,Male,Teacher,99058.0,8,384295.89,48036.99,45121.96,Low Activity,Low Spender
C00171,Lila Nair,64,Male,Other,30766.0,11,495508.74,45046.25,50073.12,Medium Activity,Medium Spender
C00172,Triya Narang,43,Female,Government Employee,38076.0,15,653990.87,43599.39,38163.0,Medium Activity,High Spender
C00173,Ekansh Parekh,53,Female,Software Engineer,130115.0,10,439337.86,43933.79,48333.72,Medium Activity,Medium Spender
C00174,Ekaraj Hegde,52,Male,Student,114945.0,5,284824.8,56964.96,73808.56,Low Activity,Low Spender
C00175,Jasmit Kala,61,Female,Business Owner,134160.0,15,715429.34,47695.29,46008.96,Medium Activity,High Spender
C00176,Pratyush Madan,32,Female,Other,161078.0,11,562085.93,51098.72,46053.39,Medium Activity,Medium Spender
C00177,Ekapad Dubey,51,Female,Student,175313.0,11,498125.87,45284.17,49341.62,Medium Activity,Medium Spender
C00178,Siddharth Sule,38,Female,Doctor,42718.0,12,390012.84,32501.07,32664.92,Medium Activity,Low Spender
C00179,Anusha Mahal,38,Female,Doctor,141820.0,5,239726.82,47945.36,38053.36,Low Activity,Low Spender
C00180,Abdul Krish,57,Female,Government Employee,27523.0,4,163161.7,40790.43,37010.71,Low Activity,Low Spender
C00181,Vedant Nair,52,Female,Business Owner,147808.0,5,310163.74,62032.75,69057.5,Low Activity,Low Spender
C00182,Banjeet Savant,34,Female,Accountant,109217.0,11,588854.65,53532.24,52561.24,Medium Activity,High Spender
C00183,Vaishnavi Handa,38,Female,Farmer,22661.0,9,461566.63,51285.18,59897.06,Medium Activity,Medium Spender
C00184,Neha Rege,54,Male,Teacher,83270.0,11,568392.29,51672.03,51887.53,Medium Activity,Medium Spender
C00185,Fiyaz Hegde,47,Female,Farmer,82999.0,10,579058.81,57905.88,63911.78,Medium Activity,High Spender
C00186,Ranbir Nagi,65,Female,Sales Executive,137486.0,9,402899.3,44766.59,31294.94,Medium Activity,Low Spender
C00187,Tristan Mitra,22,Male,Accountant,78090.0,8,399754.67,49969.33,46965.34,Low Activity,Low Spender
C00188,Ishanvi Ghose,46,Male,Accountant,194053.0,12,532452.89,44371.07,46658.27,Medium Activity,Medium Spender
C00189,Samesh Ramachandran,58,Female,Sales Executive,165089.0,8,441640.15,55205.02,49120.41,Low Activity,Medium Spender
C00190,Amaira Baral,54,Female,Student,164281.0,11,593506.95,53955.18,59236.79,Medium Activity,High Spender
C00191,Suhani Varma,42,Female,Sales Executive,91019.0,15,909043.1,60602.87,70054.54,Medium Activity,High Spender
C00192,Harsh Gandhi,40,Female,Doctor,51629.0,9,504634.36,56070.48,57747.94,Medium Activity,Medium Spender
C00193,Gunbir Choudhury,33,Female,Teacher,160473.0,7,397343.28,56763.33,48846.42,Low Activity,Low Spender
C00194,Ishita Bath,65,Male,Doctor,76723.0,19,846296.83,44541.94,45314.25,High Activity,High Spender
C00195,Farhan Ahluwalia,51,Female,Other,157530.0,10,390504.8,39050.48,39324.74,Medium Activity,Low Spender
C00196,Abhimanyu Chaudhari,59,Female,Teacher,70886.0,10,655544.91,65554.49,76972.98,Medium Activity,High Spender
C00197,Bhavini Kala,39,Male,Government Employee,67039.0,6,319443.46,53240.58,54692.98,Low Activity,Low Spender
C00198,Hemang Sangha,40,Male,Farmer,53182.0,3,143339.01,47779.67,54443.74,Low Activity,Low Spender
C00199,Anvi Choudhury,38,Male,Software Engineer,165059.0,9,538975.53,59886.17,68038.77,Medium Activity,Medium Spender
C00200,Arya Kulkarni,39,Male,Sales Executive,46892.0,14,694177.68,49584.12,46636.06,Medium Activity,High Spender
C00201,Falguni Magar,21,Female,Sales Executive,145492.0,11,514909.16,46809.92,22290.45,Medium Activity,Medium Spender
C00202,Dev Prabhakar,49,Female,Business Owner,33468.0,2,85604.39,42802.2,42802.2,Low Activity,Low Spender
C00203,Leena Dutt,37,Female,Teacher,37129.0,5,75542.73,15108.55,7870.5,Low Activity,Low Spender
C00204,Yachana Devi,46,Female,Teacher,171262.0,8,394017.68,49252.21,50726.42,Low Activity,Low Spender
C00205,Ekansh Barad,61,Male,Business Owner,59111.0,6,274725.75,45787.62,38554.28,Low Activity,Low Spender
C00206,Guneet Sane,57,Female,Teacher,85061.0,11,487524.61,44320.42,39691.96,Medium Activity,Medium Spender
C00207,Pranit Srivastava,28,Female,Other,176271.0,9,426592.05,47399.12,55331.33,Medium Activity,Medium Spender
C00208,David Ramakrishnan,60,Male,Farmer,119713.0,16,891414.96,55713.44,54617.46,High Activity,High Spender
C00209,Mason Behl,49,Female,Accountant,174278.0,7,223205.59,31886.51,38631.18,Low Activity,Low Spender
C00210,Anthony Om,48,Female,Other,182798.0,9,521380.76,57931.2,76747.89,Medium Activity,Medium Spender
C00211,Yashoda Natt,24,Male,Doctor,183975.0,5,193237.63,38647.53,38846.87,Low Activity,Low Spender
C00212,Orinder Tiwari,34,Female,Teacher,61171.0,10,481417.15,48141.72,49749.28,Medium Activity,Medium Spender
C00213,Warhi Mitra,36,Male,Farmer,39677.0,5,281688.65,56337.73,86443.38,Low Activity,Low Spender
C00214,Chameli Modi,31,Male,Student,138096.0,9,569039.81,63226.65,62101.96,Medium Activity,High Spender
C00215,Upkaar Master,65,Female,Accountant,28556.0,5,327523.1,65504.62,85573.15,Low Activity,Low Spender
C00216,Laban Om,35,Female,Accountant,139021.0,13,672544.14,51734.16,47237.48,Medium Activity,High Spender
C00217,Deepa Dube,25,Male,Accountant,183855.0,5,174266.66,34853.33,35147.71,Low Activity,Low Spender
C00218,Krishna Tandon,58,Male,Student,50087.0,4,175535.24,43883.81,48302.4,Low Activity,Low Spender
C00219,Jeet Singhal,55,Male,Business Owner,89633.0,7,546796.03,78113.72,80061.08,Low Activity,Medium Spender
C00220,Chandresh Johal,30,Male,Software Engineer,63495.0,14,686395.59,49028.26,43304.46,Medium Activity,High Spender
C00221,Neha Golla,40,Female,Sales Executive,52598.0,11,513739.88,46703.63,45274.98,Medium Activity,Medium Spender
C00222,Atharv Anand,50,Female,Student,91367.0,7,337992.73,48284.68,52582.47,Low Activity,Low Spender
C00223,Nachiket Gola,53,Female,Sales Executive,41087.0,8,426567.01,53320.88,55496.67,Low Activity,Medium Spender
C00224,Sathvik Pandit,59,Male,Student,104494.0,9,408594.58,45399.4,43667.86,Medium Activity,Low Spender
C00225,Gaurangi Subramanian,59,Female,Software Engineer,43940.0,6,245470.17,40911.7,33227.52,Low Activity,Low Spender
C00226,Fitan Karpe,35,Male,Accountant,171059.0,6,375122.73,62520.45,65890.32,Low Activity,Low Spender
C00227,Mason Lad,23,Male,Sales Executive,156043.0,7,370851.45,52978.78,45456.64,Low Activity,Low Spender
C00228,Anthony Kala,62,Female,Accountant,67576.0,7,211802.22,30257.46,29930.94,Low Activity,Low Spender
C00229,Praneel Chokshi,58,Female,Sales Executive,43918.0,9,435661.38,48406.82,43108.76,Medium Activity,Medium Spender
C00230,Indali Prasad,51,Female,Student,107374.0,12,582319.46,48526.62,43924.24,Medium Activity,High Spender
C00231,Harinakshi Mammen,41,Male,Business Owner,106456.0,10,621136.61,62113.66,74982.84,Medium Activity,High Spender
C00232,Pavani Nazareth,47,Female,Accountant,193692.0,14,890885.61,63634.69,70787.84,Medium Activity,High Spender
C00233,Odika Dutta,46,Male,Sales Executive,43084.0,7,352481.85,50354.55,36515.12,Low Activity,Low Spender
C00234,Kiaan Tak,41,Female,Government Employee,50388.0,11,448892.12,40808.37,44661.46,Medium Activity,Medium Spender
C00235,Gavin Bassi,46,Male,Farmer,141104.0,12,447203.46,37266.96,26566.7,Medium Activity,Medium Spender
C00236,Vrinda Bhardwaj,47,Male,Doctor,155905.0,7,417241.77,59605.97,67766.6,Low Activity,Medium Spender
C00237,Jeremiah Acharya,44,Female,Sales Executive,33529.0,7,352945.43,50420.78,50576.32,Low Activity,Low Spender
C00238,William Ganguly,34,Female,Farmer,54344.0,11,519806.5,47255.14,46725.3,Medium Activity,Medium Spender
C00239,Anirudh Dewan,39,Female,Sales Executive,51831.0,8,496835.74,62104.47,77630.94,Low Activity,Medium Spender
C00240,Idika Krish,22,Male,Business Owner,101461.0,8,429034.0,53629.25,58575.02,Low Activity,Medium Spender
